16134853,9,엑시트,심장이 쫄깃해지고 손에 땀이 쥐어지는 영화. ,ark0****,19.09.10
16134852,10,우리집,그때의 내가 아이들과 함께했던 시간.어른의 시선으로 귀엽고 가여운 아이들이 보이지만내 안의 어린 나는 아이들과 같이 짧은 웃음으로 긴 울음을 삼켰다. ,mega****,19.09.10
16134851,9,엑시트,백수도 할 줄 아는게 있어요~ ,iblu****,19.09.10
16134850,10,틴 스피릿,잔잔한데 재미있어요 ㅜㅜ 엘르패닝 최고 ,agna****,19.09.10
16134849,10,분노의 질주: 홉스&쇼,이거  원  여름엔  이런  영화지 ,79rl****,19.09.10
16134848,2,유열의 음악앨범,돈/시간 아깝구 졸립기도하구...하지만 감탄하게만드는 정해인 외모...정해인 팬이라면 돈/시간 아깝지않을듯 ,jhsi****,19.09.10
16134847,10,남자사용설명서,오정세 연기 보는맛이 있음 10점 영화는 아니라 생각하지만 6점대 영화도 아니라 생각하기에 평점 맞추기 10점드림. ,kaka****,19.09.10
16134846,7,47미터 2,킬링타임용으로 손색 없습니다. 긴장감도 넘치구요. 내용은 너무 깊게 들어가지 말게요 ,snde****,19.09.10
16134845,10,엑시트,잼있게 보았습니다 ~~^^ ,namk****,19.09.10
16134844,10,안나,진짜 재미있게봤어요 지루할 틈이없음 ,hell****,19.09.10
16134843,5,그것: 두 번째 이야기,평점높은거 믿고 봤다가 뒤통수 ^^.. 무섭지도 않고 징그럽기만 했다ㅠㅠ ,chbk****,19.09.10
16134842,2,사자,스토리가 너무 어설픈데.. ,qrss****,19.09.10
16134841,3,그것: 두 번째 이야기,평점이 너무 후하다. 후속작으로 나쁘진 않으나 전혀 다른 영화같다느니 전작 뛰어넘었다느니 그건 아닌듯... 너무 기대평이 고 평가 되어 있음. ,ljun****,19.09.10
16134840,2,오목소녀,단편영화냐?티비 스크린채널서 보고있다  일본영화인줄 ㅋㅋ ,rlad****,19.09.10
16134838,8,47미터 2,처음 혼자 보고 옴조조라 그런지영화관에 나 혼자였음처음 남자 먹힐 때 담올 뻔 했다 ,qlsj****,19.09.10
16134836,6,사자,음 멋진배우를 불주먹에이스로 변신시킨 감독님이건 아닙니다 ㅠ ㅠ 악역도 무슨 물고기 인간도 아니고 ㅠㅠ 구마할땐 그래도 좀 사이다였는데 불주먹대신 옅은 빛으로 표현했다면 덜 오그라들듯 했어요 ㅠ ,hs70****,19.09.10
16134835,1,김복동,자전차왕 엄복동~반일종족주의 ,hell****,19.09.10
16134833,10,엑시트,초딩딸이랑 손에 땀나는거 서로 꼭잡고 봄 ㅋㅋㅋ ,call****,19.09.10
16134832,5,노트북,론이불쌍해서 5점준다 ,zaq1****,19.09.10
16134831,10,안녕 베일리,상영관이 너무 없음ㅜㅜ ,domj****,19.09.10
16134830,1,변신,하...감독님 다음부터는 영화만들지 마세요. ,leec****,19.09.10
16134829,6,호스텔,너무 불쾌하고 잔혹하고 고통받는 기분이었다. 한마디로 찝찝하고 더럽움 정신이 멍한 영화. ,in04****,19.09.10
16134828,8,유열의 음악앨범,옛 감성과 스토리 젊었던날을 그립게 만들어주는 영화 ,kym2****,19.09.10
16134827,10,엑시트,와 아  이런 재난영화를 감독에게 찬사를 ,gusq****,19.09.10
16134826,8,변신,소름돗는영화 배우들의 연기력도 짱 ,haes****,19.09.10
